LAST SEEN   TYPE      REASON      OBJECT                                       MESSAGE
26m         Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
26m         Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.67s (1.67s including waiting). Image size: 5766525 bytes.
26m         Normal    Created     pod/consumer-svc                             Created container: consumer
26m         Normal    Started     pod/consumer-svc                             Started container consumer
25m         Normal    Killing     pod/consumer-svc                             Stopping container consumer
24m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to rtosubuntu-500tca-500sca
24m         Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
24m         Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.913s (1.913s including waiting). Image size: 5766525 bytes.
24m         Normal    Created     pod/consumer-svc                             Created container: consumer
24m         Normal    Started     pod/consumer-svc                             Started container consumer
23m         Normal    Killing     pod/consumer-svc                             Stopping container consumer
22m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to rtosubuntu-500tca-500sca
22m         Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
22m         Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.688s (1.688s including waiting). Image size: 5766525 bytes.
22m         Normal    Created     pod/consumer-svc                             Created container: consumer
22m         Normal    Started     pod/consumer-svc                             Started container consumer
22m         Normal    Killing     pod/consumer-svc                             Stopping container consumer
21m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to rtosubuntu-500tca-500sca
21m         Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
21m         Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.634s (1.634s including waiting). Image size: 5766525 bytes.
21m         Normal    Created     pod/consumer-svc                             Created container: consumer
21m         Normal    Started     pod/consumer-svc                             Started container consumer
21m         Normal    Killing     pod/consumer-svc                             Stopping container consumer
20m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to raspberrypi
17m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to raspberrypi
14m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to raspberrypi
11m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to raspberrypi
