Producer starting...
Target address: consumer-diff.consumer-diff-headless.default.svc.cluster.local:8080
Send interval: 10ms
Connected to consumer-diff.consumer-diff-headless.default.svc.cluster.local:8080
[Stats] Messages: 56495 | Rate: 100.01 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 56995 | Rate: 99.98 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 57495 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 57996 | Rate: 100.19 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 58495 | Rate: 99.82 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 58995 | Rate: 100.01 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 59495 | Rate: 99.99 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 59995 | Rate: 99.99 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 60496 | Rate: 100.20 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 60995 | Rate: 99.81 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 61495 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 61995 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 62495 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 62995 | Rate: 100.01 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 63496 | Rate: 100.18 msg/s | Throughput: 0.39 MB/s | Errors: 0

Shutting down producer...

Final Statistics:
Total messages sent: 63798
Total bytes sent: 261316608
Total errors: 0
