LAST SEEN   TYPE      REASON      OBJECT                                       MESSAGE
45m         Normal    Started     pod/consumer-svc                             Started container consumer
43m         Normal    Killing     pod/consumer-svc                             Stopping container consumer
39m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to raspberrypi
34m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to rubikpi
34m         Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
34m         Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.598s (1.598s including waiting). Image size: 6025303 bytes.
34m         Normal    Created     pod/consumer-svc                             Created container: consumer
34m         Normal    Started     pod/consumer-svc                             Started container consumer
33m         Normal    Killing     pod/consumer-svc                             Stopping container consumer
32m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to rubikpi
32m         Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
32m         Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.536s (1.536s including waiting). Image size: 6025303 bytes.
32m         Normal    Created     pod/consumer-svc                             Created container: consumer
32m         Normal    Started     pod/consumer-svc                             Started container consumer
31m         Normal    Killing     pod/consumer-svc                             Stopping container consumer
28m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to raspberrypi
24m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to raspberrypi
22m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to raspberrypi
20m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to raspberrypi
18m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to raspberrypi
16m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to raspberrypi
14m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to rtosubuntu-500tca-500sca
14m         Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
14m         Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.67s (1.67s including waiting). Image size: 5766525 bytes.
14m         Normal    Created     pod/consumer-svc                             Created container: consumer
14m         Normal    Started     pod/consumer-svc                             Started container consumer
13m         Normal    Killing     pod/consumer-svc                             Stopping container consumer
12m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to rtosubuntu-500tca-500sca
12m         Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
12m         Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.913s (1.913s including waiting). Image size: 5766525 bytes.
12m         Normal    Created     pod/consumer-svc                             Created container: consumer
12m         Normal    Started     pod/consumer-svc                             Started container consumer
11m         Normal    Killing     pod/consumer-svc                             Stopping container consumer
10m         Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to rtosubuntu-500tca-500sca
10m         Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
10m         Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.688s (1.688s including waiting). Image size: 5766525 bytes.
10m         Normal    Created     pod/consumer-svc                             Created container: consumer
10m         Normal    Started     pod/consumer-svc                             Started container consumer
10m         Normal    Killing     pod/consumer-svc                             Stopping container consumer
9m20s       Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to rtosubuntu-500tca-500sca
9m20s       Normal    Pulling     pod/consumer-svc                             Pulling image "ssoonan0770/jitter-consumer:latest"
9m18s       Normal    Pulled      pod/consumer-svc                             Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.634s (1.634s including waiting). Image size: 5766525 bytes.
9m18s       Normal    Created     pod/consumer-svc                             Created container: consumer
9m18s       Normal    Started     pod/consumer-svc                             Started container consumer
9m4s        Normal    Killing     pod/consumer-svc                             Stopping container consumer
8m24s       Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to raspberrypi
5m25s       Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to raspberrypi
2m21s       Normal    Scheduled   pod/consumer-svc                             Successfully assigned default/consumer-svc to raspberrypi
101m        Normal    Pulling     pod/consumer                                 Pulling image "ssoonan0770/jitter-consumer:latest"
101m        Normal    Pulled      pod/consumer                                 Successfully pulled image "ssoonan0770/jitter-consumer:latest" in 1.787s (1.787s including waiting). Image size: 6025303 bytes.
101m        Normal    Created     pod/consumer                                 Created container: consumer
101m        Normal    Started     pod/consumer                                 Started container consumer
100m        Normal    Killing     pod/consumer                                 Stopping container consumer
41m         Normal    Scheduled   pod/consumer                                 Successfully assigned default/consumer to raspberrypi
