Producer starting...
Target address: consumer-diff.consumer-diff-headless.default.svc.cluster.local:8080
Send interval: 10ms
Connected to consumer-diff.consumer-diff-headless.default.svc.cluster.local:8080
[Stats] Messages: 54996 | Rate: 100.01 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 55496 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 55996 | Rate: 99.99 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 56496 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 56997 | Rate: 100.19 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 57496 | Rate: 99.82 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 57996 | Rate: 99.99 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 58496 | Rate: 99.99 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 58996 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 59497 | Rate: 100.19 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 59997 | Rate: 100.00 msg/s | Throughput: 0.39 MB/s | Errors: 0
[Stats] Messages: 60496 | Rate: 99.82 msg/s | Throughput: 0.39 MB/s | Errors: 0
